track_id,title,artist,type,gender,genre,,
3y4LxiYMgDl4RethdzpmNe,Breathe,Faith Hill,p,f,Country,,
0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),Santana,g,m,Rock,,
3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),Santana,g,m,RnB,,
1m2xMsxbtxv21Brome189p,I Wanna Know,Joe,p,m,RnB,,
4cKGldbhGJniI8BrB3K6tb,Everything You Want,Vertical Horizon,g,m,Rock,,
6WAhLCL1XchQzYjl15rnFp,Say My Name,Destiny's Child,g,f,Pop,,
5FK9fAMj2bvQQ4sAqbN5v3,I Knew I Loved You,Savage Garden,g,m,Pop,,
6qc34bnVOyqGDPni8H5W0U,Amazed,Lonestar,g,m,Rock,,
6fA7akEuTUL3dW1V0GELaZ,Bent,Matchbox Twenty,g,m,Rock,,
7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,Toni Braxton,p,f,RnB,,
1ZozJfi8u9cO2Ob8KwiwNT,Higher,Creed,g,m,Rock,,
6Wnlq1Pu3I0BajLvxn05Vr,Try Again,Aaliyah,p,f,RnB,,
4RLTvoObapQSV9fyjhWB29,"Jumpin', Jumpin'",Destiny's Child,g,f,RnB,,
5Mmk2ii6laakqfeCT7OnVD,Thong Song,Sisqo,p,m,RnB,,
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,g,m,Rock,,
3cMPR8hsjJAlJVeLiPB3RQ,There You Go,P!nk,p,f,RnB,,
2fzykVsO2Di5jnofUNX3YE,Music,Madonna,p,f,Pop,,
0fJAcQZyy0C2qyt0LluAWp,Doesn't Really Matter,Janet Jackson,p,f,RnB,,
5bGmuxShUba9maPswDnhCs,What a Girl Wants,Christina Aguilera,p,f,Pop,,
6mwA6YiKDjAUG8kWvRRUPh,Back At One,Brian McKnight,p,m,RnB,,
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,g,m,Pop,,
